"id","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Saquon Barkley","RB","NYG",120,90,712,34,752,4,0.3,20.94,0.01,0.21,0.31,381.2
"2","Christian McCaffrey","RB","CAR",124,107,867,129,842,6,1,6.72,0.03,0.22,0.36,379.7
"3","Todd Gurley","RB","LA",80,58,555,53,556,4,0.7,10.47,0.01,0.16,0.24,363.8
"4","Alvin Kamara","RB","NO",104,80,703,193,640,4,1.9,3.64,0.05,0.21,0.36,345.4
"5","DeAndre Hopkins","WR","HOU",163,115,1583,1995,384,11,12.2,0.79,0.45,0.32,0.8,338.6
"6","Ezekiel Elliott","RB","DAL",93,76,553,42,562,3,0.5,13.17,0.01,0.19,0.3,328.3
"7","Davante Adams","WR","GB",168,110,1370,1904,472,13,11.3,0.72,0.36,0.28,0.68,325
"8","Julio Jones","WR","ATL",169,112,1655,2420,449,7,14.3,0.68,0.45,0.28,0.73,320.7
"9","Antonio Brown","WR","PIT",167,101,1273,1899,461,15,11.4,0.67,0.38,0.26,0.66,318.3
"10","Adam Thielen","WR","MIN",153,111,1370,1453,438,9,9.5,0.94,0.33,0.25,0.61,304.2
"11","Michael Thomas","WR","NO",146,123,1320,1135,470,8,7.8,1.16,0.3,0.29,0.64,303
"12","Travis Kelce","TE","KC",148,101,1330,1401,552,10,9.5,0.95,0.28,0.26,0.58,294
"13","Tyreek Hill","WR","KC",132,82,1336,1898,520,10,14.4,0.7,0.37,0.23,0.61,294
"14","JuJu Smith-Schuster","WR","PIT",165,110,1375,1394,672,7,8.4,0.99,0.26,0.24,0.55,290.8
"15","James White","RB","NE",125,89,770,417,596,7,3.3,1.85,0.09,0.22,0.39,279.8
"16","Zach Ertz","TE","PHI",155,115,1153,1122,351,8,7.2,1.03,0.25,0.26,0.57,278.3
"17","James Conner","RB","PIT",70,54,491,23,534,1,0.3,21.35,0.01,0.12,0.19,276.5
"18","Mike Evans","WR","TB",135,83,1391,2121,239,8,15.7,0.66,0.33,0.22,0.56,270.1
"19","Melvin Gordon","UNK","LAC",66,50,488,-23,526,4,-0.3,-21.22,-0.01,0.17,0.26,268.6
"20","Stefon Diggs","WR","MIN",148,102,1021,1266,453,9,8.6,0.81,0.3,0.26,0.59,264.3
"21","Robert Woods","WR","LA",129,84,1198,1462,416,6,11.3,0.82,0.3,0.23,0.56,259.6
"22","George Kittle","TE","SF",135,88,1377,960,873,5,7.1,1.43,0.26,0.26,0.57,256.7
"23","Keenan Allen","WR","LAC",137,96,1188,1183,408,5,8.6,1,0.33,0.29,0.67,252.3
"24","David Johnson","RB","ARI",76,50,446,63,385,3,0.8,7.08,0.02,0.16,0.24,246.9
"25","Joe Mixon","RB","CIN",55,43,296,9,328,1,0.2,32.89,0,0.12,0.19,241.6
"26","Brandin Cooks","WR","LA",116,80,1191,1469,357,5,12.7,0.81,0.32,0.22,0.55,240.2
"27","Tarik Cohen","RB","CHI",86,69,684,316,498,5,3.7,2.16,0.07,0.17,0.3,229.4
"28","Kareem Hunt","RB","KC",36,27,384,68,344,7,1.9,5.65,0.02,0.09,0.15,229.1
"29","T.Y. Hilton","WR","IND",118,74,1248,1310,459,5,11.1,0.95,0.34,0.22,0.57,228.8
"30","Tyler Boyd","WR","CIN",108,76,1028,1087,426,7,10.1,0.95,0.27,0.22,0.52,221.1
"31","Phillip Lindsay","RB","DEN",46,34,239,-26,295,1,-0.6,-9.19,-0.01,0.09,0.13,219.3
"32","Odell Beckham","WR","NYG",123,76,1047,1515,283,6,12.3,0.69,0.42,0.28,0.72,218.6
"33","Tyler Lockett","WR","SEA",67,55,970,910,227,10,13.6,1.07,0.24,0.16,0.4,217.1
"34","Eric Ebron","TE","IND",108,65,738,1020,250,12,9.4,0.72,0.21,0.17,0.41,216
"35","Jarvis Landry","WR","CLE",145,80,958,1729,233,4,11.9,0.55,0.31,0.26,0.6,211.8
"36","Kenyan Drake","RB","MIA",74,54,487,174,435,5,2.4,2.8,0.05,0.16,0.28,210.4
"37","Kenny Golladay","WR","DET",119,71,1070,1530,355,5,12.9,0.7,0.4,0.22,0.61,208.8
"38","Calvin Ridley","WR","ATL",90,63,816,931,357,10,10.3,0.88,0.17,0.15,0.34,207.3
"39","Chris Carson","RB","SEA",24,20,163,1,163,0,0,163,0,0.06,0.1,205
"40","Derrick Henry","RB","TEN",18,15,99,21,115,0,1.2,4.71,0.01,0.04,0.07,202.1
"41","Julian Edelman","WR","NE",107,73,834,828,346,6,7.7,1.01,0.24,0.25,0.53,201.1
"42","Jared Cook","TE","OAK",101,69,900,840,344,7,8.3,1.07,0.22,0.18,0.43,201
"43","Nick Chubb","RB","CLE",29,20,149,59,176,2,2,2.53,0.01,0.05,0.08,191.7
"44","Tevin Coleman","RB","ATL",43,31,269,28,261,5,0.7,9.61,0.01,0.07,0.11,189.1
"45","Chris Godwin","WR","TB",95,59,842,1134,257,7,11.9,0.74,0.17,0.16,0.36,185.2
"46","Adam Humphries","WR","TB",102,74,795,682,399,5,6.7,1.17,0.11,0.17,0.32,184.6
"47","Corey Davis","WR","TEN",113,65,891,1160,267,4,10.3,0.77,0.34,0.26,0.63,183.6
"48","Emmanuel Sanders","WR","DEN",94,68,808,882,312,4,9.4,0.92,0.28,0.23,0.54,183.5
"49","Alshon Jeffery","WR","PHI",90,63,817,1002,262,6,11.1,0.82,0.29,0.19,0.49,180.7
"50","Jordan Howard","RB","CHI",26,19,140,24,120,0,0.9,5.83,0.01,0.05,0.08,179.7
"51","Sterling Shepard","WR","NYG",106,65,862,1107,302,4,10.4,0.78,0.24,0.18,0.44,178.5
"52","Mike Williams","WR","LAC",66,43,664,964,118,10,14.6,0.69,0.24,0.13,0.37,177.9
"53","T.J. Yeldon","RB","JAC",77,55,490,61,457,4,0.8,8.03,0.02,0.16,0.25,176.8
"54","Mohamed Sanu","WR","ATL",93,65,830,783,393,4,8.4,1.06,0.15,0.15,0.33,176.4
"55","Marlon Mack","RB","IND",26,17,103,-8,126,1,-0.3,-12.88,0,0.06,0.09,176.3
"56","Adrian Peterson","RB","WAS",25,19,205,13,194,1,0.5,15.77,0,0.05,0.08,175.9
"57","Lamar Miller","RB","HOU",35,25,163,24,171,1,0.7,6.79,0.01,0.08,0.13,174.6
"58","Aaron Jones","RB","GB",35,26,206,9,221,1,0.3,22.89,0,0.08,0.11,172.5
"59","Larry Fitzgerald","WR","ARI",110,67,689,1024,201,6,9.3,0.67,0.26,0.22,0.52,171.9
"60","Dede Westbrook","WR","JAC",99,64,668,838,337,5,8.5,0.8,0.23,0.19,0.44,170.6
"61","Austin Ekeler","RB","LAC",52,38,374,18,403,3,0.3,20.78,0.01,0.12,0.18,166.3
"62","Nelson Agholor","WR","PHI",96,63,736,953,341,4,9.9,0.77,0.22,0.16,0.4,163.8
"63","D.J. Moore","WR","CAR",83,55,788,810,416,2,9.8,0.97,0.19,0.15,0.36,163
"64","Amari Cooper","WR","DAL",75,52,719,732,311,6,9.8,0.98,0.32,0.24,0.58,161
"65","Austin Hooper","TE","ATL",88,71,660,603,232,4,6.9,1.09,0.11,0.14,0.3,161
"66","Dion Lewis","RB","TEN",66,58,391,-69,466,1,-1,-5.67,-0.02,0.15,0.21,160.8
"67","Matt Breida","RB","SF",28,24,254,102,213,2,3.6,2.49,0.03,0.06,0.11,160.2
"68","Nyheim Hines","RB","IND",81,63,425,200,349,2,2.5,2.12,0.04,0.13,0.22,159
"69","Jalen Richard","RB","OAK",80,67,605,144,488,0,1.8,4.2,0.04,0.14,0.24,158.4
"70","Robby Anderson","WR","NYJ",91,49,736,1431,177,6,15.7,0.51,0.34,0.2,0.54,157.8
"71","Jordy Nelson","UNK","OAK",87,63,739,805,241,3,9.3,0.92,0.23,0.17,0.41,154.7
"72","Allen Robinson","WR","CHI",93,54,741,1124,216,4,12.1,0.66,0.29,0.22,0.53,153
